coord,weather,base,main,wind,rain,clouds,dt,sys,timezone,id,name,cod
"{'lon': 98.49, 'lat': 39.73}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 39.56, 'pressure': 1019, 'humidity': 42, 'temp_min': 39.56, 'temp_max': 39.56, 'sea_level': 1019, 'grnd_level': 787}","{'speed': 7.67, 'deg': 326}",,{'all': 44},1571760405,"{'country': 'CN', 'sunrise': 1571787825, 'sunset': 1571827012}",28800,1280957,Jiuquan,200
"{'lon': 6.26, 'lat': 4.92}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,"{'temp': 77.07, 'pressure': 1006, 'humidity': 93, 'temp_min': 77.07, 'temp_max': 77.07, 'sea_level': 1006, 'grnd_level': 1005}","{'speed': 5.35, 'deg': 240}",{'3h': 10.56},{'all': 100},1571760406,"{'country': 'NG', 'sunrise': 1571721585, 'sunset': 1571764735}",3600,2318123,Yenagoa,200
"{'lon': 145.91, 'lat': -41.05}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 46.51, 'pressure': 1018, 'humidity': 96, 'temp_min': 46, 'temp_max': 46.99}","{'speed': 3.49, 'deg': 215}",{},{'all': 0},1571760407,"{'type': 3, 'id': 2013409, 'country': 'AU', 'sunrise': 1571771791, 'sunset': 1571820286}",39600,2173125,Burnie,200
"{'lon': 152.44, 'lat': -3.66}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 83.3, 'pressure': 1007, 'humidity': 71, 'temp_min': 83.3, 'temp_max': 83.3, 'sea_level': 1007, 'grnd_level': 1006}","{'speed': 15.46, 'deg': 134}",,{'all': 96},1571760407,"{'country': 'PG', 'sunrise': 1571772495, 'sunset': 1571816449}",36000,2090021,Namatanai,200
"{'lon': 111.54, 'lat': 52.53}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 21.38, 'pressure': 1029, 'humidity': 78, 'temp_min': 21.38, 'temp_max': 21.38, 'sea_level': 1029, 'grnd_level': 911}","{'speed': 5.64, 'deg': 281}",,{'all': 100},1571760407,"{'country': 'RU', 'sunrise': 1571785932, 'sunset': 1571822641}",28800,2016216,Sosnovo-Ozerskoye,200
"{'lon': 129, 'lat': -3.31}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 80.31, 'pressure': 1010, 'humidity': 79, 'temp_min': 80.31, 'temp_max': 80.31, 'sea_level': 1010, 'grnd_level': 1010}","{'speed': 12.3, 'deg': 132}",{'3h': 0.19},{'all': 88},1571760408,"{'country': 'ID', 'sunrise': 1571778136, 'sunset': 1571822057}",32400,1651591,Amahai,200
"{'lon': 141.67, 'lat': 43.93}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 55.74, 'pressure': 1020, 'humidity': 82, 'temp_min': 55.74, 'temp_max': 55.74, 'sea_level': 1020, 'grnd_level': 1019}","{'speed': 9.89, 'deg': 117}",,{'all': 35},1571760408,"{'country': 'JP', 'sunrise': 1571777799, 'sunset': 1571816313}",32400,2128382,Rumoi,200
"{'lon': -60.63, 'lat': -9.17}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 88.72, 'pressure': 1012, 'humidity': 50, 'temp_min': 88.72, 'temp_max': 88.72, 'sea_level': 1012, 'grnd_level': 995}","{'speed': 4.34, 'deg': 181}",,{'all': 98},1571760409,"{'country': 'BR', 'sunrise': 1571736974, 'sunset': 1571781450}",-14400,3665202,Aripuana,200
"{'lon': 69.92, 'lat': 60.06}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 38.41, 'pressure': 1002, 'humidity': 94, 'temp_min': 38.41, 'temp_max': 38.41, 'sea_level': 1002, 'grnd_level': 994}","{'speed': 10.33, 'deg': 238}",{'3h': 1.13},{'all': 100},1571760411,"{'country': 'RU', 'sunrise': 1571710532, 'sunset': 1571745234}",18000,1506268,Gornopravdinsk,200
"{'lon': -71.42, 'lat': 41.7}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 57.07, 'pressure': 1019, 'humidity': 76, 'temp_min': 52, 'temp_max': 62.6}","{'speed': 10.29, 'deg': 80}",,{'all': 100},1571760138,"{'type': 1, 'id': 4967, 'country': 'US', 'sunrise': 1571742323, 'sunset': 1571781279}",-14400,5225507,Warwick,200
"{'lon': 26.69, 'lat': 57.54}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 54.37, 'pressure': 1015, 'humidity': 83, 'temp_min': 54.37, 'temp_max': 54.37, 'sea_level': 1015, 'grnd_level': 1004}","{'speed': 10.74, 'deg': 252}",,{'all': 100},1571760413,"{'country': 'EE', 'sunrise': 1571720500, 'sunset': 1571756014}",10800,461442,Ape,200
"{'lon': 57.53, 'lat': 22.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 81.61, 'pressure': 1011, 'humidity': 30, 'temp_min': 81.61, 'temp_max': 81.61, 'sea_level': 1011, 'grnd_level': 905}","{'speed': 0.92, 'deg': 51}",,{'all': 0},1571760160,"{'country': 'OM', 'sunrise': 1571710156, 'sunset': 1571751557}",14400,286987,Nizwa,200
"{'lon': -53.11, 'lat': 48.65}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 43, 'pressure': 1020, 'humidity': 85, 'temp_min': 43, 'temp_max': 43}","{'speed': 10, 'deg': 304, 'gust': 20}",,{'all': 100},1571760415,"{'type': 3, 'id': 2011050, 'country': 'CA', 'sunrise': 1571738555, 'sunset': 1571776259}",-9000,5905393,Bonavista,200
"{'lon': -3.16, 'lat': 5.61}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 84.94, 'pressure': 1007, 'humidity': 67, 'temp_min': 84.94, 'temp_max': 84.94, 'sea_level': 1007, 'grnd_level': 996}","{'speed': 6.91, 'deg': 210}",{'3h': 1.44},{'all': 90},1571760417,"{'country': 'CI', 'sunrise': 1571723878, 'sunset': 1571766963}",0,2292542,Ayame,200
"{'lon': 109.94, 'lat': 34.79}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': 56.66, 'pressure': 1019, 'humidity': 78, 'temp_min': 56.66, 'temp_max': 56.66, 'sea_level': 1019, 'grnd_level': 961}","{'speed': 7.52, 'deg': 52}",,{'all': 19},1571760418,"{'country': 'CN', 'sunrise': 1571784718, 'sunset': 1571824624}",28800,1814092,Dali,200
"{'lon': 64.64, 'lat': 25.21}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 83.71, 'pressure': 1010, 'humidity': 71, 'temp_min': 83.71, 'temp_max': 83.71, 'sea_level': 1010, 'grnd_level': 1010}","{'speed': 9.62, 'deg': 246}",,{'all': 0},1571760418,"{'country': 'PK', 'sunrise': 1571708572, 'sunset': 1571749729}",18000,1168700,Ormara,200
"{'lon': -3.98, 'lat': 22.68}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 102.52, 'pressure': 1008, 'humidity': 14, 'temp_min': 102.52, 'temp_max': 102.52, 'sea_level': 1008, 'grnd_level': 986}","{'speed': 11.56, 'deg': 253}",,{'all': 3},1571760419,"{'country': 'ML', 'sunrise': 1571724910, 'sunset': 1571766325}",0,2450173,Taoudenni,200
"{'lon': 31.9, 'lat': 54.43}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 55.56, 'pressure': 1021, 'humidity': 93, 'temp_min': 55.56, 'temp_max': 55.56, 'sea_level': 1021, 'grnd_level': 996}","{'speed': 9.17, 'deg': 206}",,{'all': 83},1571760425,"{'country': 'RU', 'sunrise': 1571718801, 'sunset': 1571755213}",10800,525426,Sobolevo,200
"{'lon': 167.18, 'lat': -15.51}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 71.83, 'pressure': 1011, 'humidity': 96, 'temp_min': 71.83, 'temp_max': 71.83, 'sea_level': 1011, 'grnd_level': 981}","{'speed': 1.25, 'deg': 119}",{'3h': 0.19},{'all': 100},1571760426,"{'country': 'VU', 'sunrise': 1571768372, 'sunset': 1571813497}",39600,2136150,Luganville,200
"{'lon': 1.01, 'lat': 20.2}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 100.26, 'pressure': 1007, 'humidity': 14, 'temp_min': 100.26, 'temp_max': 100.26, 'sea_level': 1007, 'grnd_level': 953}","{'speed': 11.14, 'deg': 148}",,{'all': 75},1571760426,"{'country': 'ML', 'sunrise': 1571723583, 'sunset': 1571765257}",0,2449893,Tessalit,200
"{'lon': 16.43, 'lat': -28.55}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 63.09, 'pressure': 1011, 'humidity': 60, 'temp_min': 63.09, 'temp_max': 63.09, 'sea_level': 1011, 'grnd_level': 997}","{'speed': 14.7, 'deg': 198}",,{'all': 0},1571760427,"{'country': 'ZA', 'sunrise': 1571717439, 'sunset': 1571764000}",7200,3354071,Oranjemund,200
"{'lon': 72.93, 'lat': 0.53}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 81.64, 'pressure': 1010, 'humidity': 80, 'temp_min': 81.64, 'temp_max': 81.64, 'sea_level': 1010, 'grnd_level': 1010}","{'speed': 12.91, 'deg': 124}",,{'all': 75},1571760427,"{'country': 'MV', 'sunrise': 1571705382, 'sunset': 1571748939}",18000,1337610,Thinadhoo,200
"{'lon': -88.05, 'lat': 19.58}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 87.67, 'pressure': 1014, 'humidity': 62, 'temp_min': 87.67, 'temp_max': 87.67, 'sea_level': 1014, 'grnd_level': 1012}","{'speed': 5.5, 'deg': 103}",,{'all': 0},1571760429,"{'country': 'MX', 'sunrise': 1571744931, 'sunset': 1571786654}",-18000,3527639,Felipe Carrillo Puerto,200
"{'lon': 44.73, 'lat': 50.7}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 54.9, 'pressure': 1023, 'humidity': 84, 'temp_min': 54.9, 'temp_max': 54.9, 'sea_level': 1023, 'grnd_level': 1005}","{'speed': 4.61, 'deg': 329}",{'3h': 0.13},{'all': 94},1571760430,"{'country': 'RU', 'sunrise': 1571715266, 'sunset': 1571752590}",14400,541344,Krasnyy Yar,200
"{'lon': -39.73, 'lat': -18.59}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 79.56, 'pressure': 1009, 'humidity': 81, 'temp_min': 79.56, 'temp_max': 79.56, 'sea_level': 1009, 'grnd_level': 1009}","{'speed': 15.7, 'deg': 53}",,{'all': 96},1571760431,"{'country': 'BR', 'sunrise': 1571731483, 'sunset': 1571776910}",-10800,3465769,Conceicao da Barra,200
"{'lon': 32.06, 'lat': -28.77}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 65.26, 'pressure': 1017, 'humidity': 69, 'temp_min': 65.26, 'temp_max': 65.26, 'sea_level': 1017, 'grnd_level': 1016}","{'speed': 18.52, 'deg': 61}",{'3h': 0.13},{'all': 100},1571760433,"{'country': 'ZA', 'sunrise': 1571713677, 'sunset': 1571760261}",7200,962367,Richards Bay,200
"{'lon': 86.74, 'lat': 20.77}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 77.5, 'pressure': 1010, 'humidity': 84, 'temp_min': 77.5, 'temp_max': 77.5, 'sea_level': 1010, 'grnd_level': 1009}","{'speed': 3.53, 'deg': 162}",,{'all': 0},1571760434,"{'country': 'IN', 'sunrise': 1571703031, 'sunset': 1571744663}",19800,1274761,Chandbali,200
"{'lon': 165.23, 'lat': -20.78}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 64.53, 'pressure': 1015, 'humidity': 94, 'temp_min': 64.53, 'temp_max': 64.53, 'sea_level': 1015, 'grnd_level': 982}","{'speed': 2.51, 'deg': 99}",,{'all': 87},1571760438,"{'country': 'NC', 'sunrise': 1571768556, 'sunset': 1571814249}",39600,2137873,Touho,200
"{'lon': 130.32, 'lat': 31.42}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 68, 'pressure': 1014, 'humidity': 88, 'temp_min': 68, 'temp_max': 68}","{'speed': 4, 'deg': 70}",{'3h': 0.19},{'all': 27},1571760438,"{'type': 3, 'id': 47743, 'country': 'JP', 'sunrise': 1571779604, 'sunset': 1571819956}",32400,1859964,Kaseda,200
"{'lon': 105.97, 'lat': 20.25}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 79.63, 'pressure': 1010, 'humidity': 83, 'temp_min': 79.63, 'temp_max': 79.63, 'sea_level': 1010, 'grnd_level': 1008}","{'speed': 10.98, 'deg': 161}",,{'all': 70},1571760440,"{'country': 'VN', 'sunrise': 1571698388, 'sunset': 1571740076}",25200,1571968,Ninh Binh,200
"{'lon': 131.25, 'lat': -0.86}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,"{'temp': 73.47, 'pressure': 1009, 'humidity': 97, 'temp_min': 73.47, 'temp_max': 73.47, 'sea_level': 1009, 'grnd_level': 998}","{'speed': 0.45, 'deg': 135}",{'3h': 4.25},{'all': 98},1571760441,"{'country': 'ID', 'sunrise': 1571777713, 'sunset': 1571821401}",32400,1626542,Sorong,200
"{'lon': 147.16, 'lat': -9.47}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 77.81, 'pressure': 1010, 'humidity': 86, 'temp_min': 77.81, 'temp_max': 77.81, 'sea_level': 1010, 'grnd_level': 1008}","{'speed': 20.85, 'deg': 130}",,{'all': 100},1571760442,"{'country': 'PG', 'sunrise': 1571773480, 'sunset': 1571817997}",36000,2088122,Port Moresby,200
"{'lon': 106.21, 'lat': 38.48}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 55, 'pressure': 832, 'humidity': 36, 'temp_min': 55, 'temp_max': 55}","{'speed': 5.01, 'deg': 135, 'gust': 5.99}",,{'all': 0},1571760442,"{'type': 3, 'id': 2000025, 'country': 'CN', 'sunrise': 1571785876, 'sunset': 1571825256}",28800,1786657,Yinchuan,200
"{'lon': 115.51, 'lat': -2.54}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 71.47, 'pressure': 1009, 'humidity': 70, 'temp_min': 71.47, 'temp_max': 71.47, 'sea_level': 1009, 'grnd_level': 996}","{'speed': 2.1, 'deg': 127}",,{'all': 83},1571760443,"{'country': 'ID', 'sunrise': 1571781410, 'sunset': 1571825258}",28800,1641899,Labuhan,200
"{'lon': 119.87, 'lat': -0.9}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': 65.82, 'pressure': 1011, 'humidity': 93, 'temp_min': 65.82, 'temp_max': 65.82, 'sea_level': 1011, 'grnd_level': 932}","{'speed': 2.68, 'deg': 154}",,{'all': 11},1571760444,"{'country': 'ID', 'sunrise': 1571780442, 'sunset': 1571824134}",28800,1633034,Palu,200
"{'lon': 47.62, 'lat': 52.73}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 52.75, 'pressure': 1022, 'humidity': 79, 'temp_min': 52.75, 'temp_max': 52.75, 'sea_level': 1022, 'grnd_level': 1006}","{'speed': 3.22, 'deg': 344}",{'3h': 0.13},{'all': 91},1571760445,"{'country': 'RU', 'sunrise': 1571714808, 'sunset': 1571751662}",14400,489164,Staraya Kulatka,200
"{'lon': 170.27, 'lat': 69.7}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 20.71, 'pressure': 1024, 'humidity': 89, 'temp_min': 20.71, 'temp_max': 20.71, 'sea_level': 1024, 'grnd_level': 1023}","{'speed': 3.13, 'deg': 344}",,{'all': 100},1571760446,"{'country': 'RU', 'sunrise': 1571775626, 'sunset': 1571804760}",43200,2122090,Pevek,200
"{'lon': 135.83, 'lat': 46.45}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 35.73, 'pressure': 1021, 'humidity': 49, 'temp_min': 35.73, 'temp_max': 35.73, 'sea_level': 1021, 'grnd_level': 944}","{'speed': 4.14, 'deg': 163}",,{'all': 0},1571760446,"{'country': 'RU', 'sunrise': 1571779434, 'sunset': 1571817482}",36000,2013279,Vostok,200
"{'lon': 86.03, 'lat': 44.3}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 39.54, 'pressure': 1035, 'humidity': 55, 'temp_min': 39.54, 'temp_max': 39.54, 'sea_level': 1035, 'grnd_level': 986}","{'speed': 7.56, 'deg': 109}",,{'all': 0},1571760231,"{'country': 'CN', 'sunrise': 1571791198, 'sunset': 1571829619}",28800,1529195,Shihezi,200
"{'lon': 93.51, 'lat': 42.84}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 35.94, 'pressure': 1029, 'humidity': 25, 'temp_min': 35.94, 'temp_max': 35.94, 'sea_level': 1029, 'grnd_level': 913}","{'speed': 20.27, 'deg': 41}",,{'all': 100},1571760447,"{'country': 'CN', 'sunrise': 1571789273, 'sunset': 1571827953}",28800,1529484,Hami,200
"{'lon': 40.52, 'lat': 63.61}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 36.57, 'pressure': 1005, 'humidity': 91, 'temp_min': 36.57, 'temp_max': 36.57, 'sea_level': 1005, 'grnd_level': 995}","{'speed': 10.33, 'deg': 215}",{'3h': 0.31},{'all': 100},1571760448,"{'country': 'RU', 'sunrise': 1571718331, 'sunset': 1571751546}",10800,499025,Samoded,200
"{'lon': -59.64, 'lat': -29.14}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 71.73, 'pressure': 1017, 'humidity': 46, 'temp_min': 71.73, 'temp_max': 71.73, 'sea_level': 1017, 'grnd_level': 1013}","{'speed': 4.76, 'deg': 98}",,{'all': 60},1571760448,"{'country': 'AR', 'sunrise': 1571735646, 'sunset': 1571782302}",-10800,3429594,Reconquista,200
"{'lon': -56.44, 'lat': -14.4}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 82.87, 'pressure': 1012, 'humidity': 60, 'temp_min': 82.87, 'temp_max': 82.87, 'sea_level': 1012, 'grnd_level': 974}","{'speed': 4.97, 'deg': 213}",,{'all': 100},1571760449,"{'country': 'BR', 'sunrise': 1571735710, 'sunset': 1571780703}",-14400,3464724,Diamantino,200
"{'lon': 80.04, 'lat': 24.43}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 73, 'pressure': 1011, 'humidity': 54, 'temp_min': 73, 'temp_max': 73, 'sea_level': 1011, 'grnd_level': 970}","{'speed': 3.94, 'deg': 207}",,{'all': 97},1571760450,"{'country': 'IN', 'sunrise': 1571704832, 'sunset': 1571746077}",19800,1278923,Amanganj,200
"{'lon': 71.17, 'lat': 57.69}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 36.97, 'pressure': 1010, 'humidity': 92, 'temp_min': 36.97, 'temp_max': 36.97, 'sea_level': 1010, 'grnd_level': 1002}","{'speed': 11.48, 'deg': 222}",{'3h': 0.81},{'all': 100},1571760450,"{'country': 'RU', 'sunrise': 1571709832, 'sunset': 1571745335}",21600,1488206,Ust-Ishim,200
"{'lon': 33.3, 'lat': 58.37}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 49.64, 'pressure': 1013, 'humidity': 88, 'temp_min': 49.64, 'temp_max': 49.64, 'sea_level': 1013, 'grnd_level': 999}","{'speed': 9.19, 'deg': 210}",,{'all': 85},1571760450,"{'country': 'RU', 'sunrise': 1571719044, 'sunset': 1571754298}",10800,515771,Okulovka,200
"{'lon': 45.7, 'lat': 53.27}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 48.52, 'pressure': 1022, 'humidity': 79, 'temp_min': 48.52, 'temp_max': 48.52, 'sea_level': 1022, 'grnd_level': 995}","{'speed': 2.75, 'deg': 337}",,{'all': 100},1571760452,"{'country': 'RU', 'sunrise': 1571715335, 'sunset': 1571752055}",10800,559643,Gorodishche,200
"{'lon': -35.22, 'lat': -9.01}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 78.37, 'pressure': 1012, 'humidity': 71, 'temp_min': 78.37, 'temp_max': 78.37, 'sea_level': 1012, 'grnd_level': 1012}","{'speed': 12.59, 'deg': 51}",,{'all': 0},1571760454,"{'country': 'BR', 'sunrise': 1571730885, 'sunset': 1571775343}",-10800,3395458,Maragogi,200
"{'lon': -56.83, 'lat': -26.98}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 73.72, 'pressure': 1016, 'humidity': 45, 'temp_min': 73.72, 'temp_max': 73.72, 'sea_level': 1016, 'grnd_level': 1003}","{'speed': 6.44, 'deg': 149}",,{'all': 0},1571760454,"{'country': 'PY', 'sunrise': 1571735108, 'sunset': 1571781493}",-10800,3437029,San Patricio,200
"{'lon': 61.4, 'lat': 41.19}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 58.26, 'pressure': 1021, 'humidity': 32, 'temp_min': 58.26, 'temp_max': 58.26, 'sea_level': 1021, 'grnd_level': 1006}","{'speed': 1.01, 'deg': 20}",,{'all': 0},1571760455,"{'country': 'TM', 'sunrise': 1571710380, 'sunset': 1571749475}",18000,1514792,Gazojak,200
"{'lon': 21, 'lat': 4.28}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 80.37, 'pressure': 1005, 'humidity': 80, 'temp_min': 80.37, 'temp_max': 80.37, 'sea_level': 1005, 'grnd_level': 958}","{'speed': 1.3, 'deg': 355}",,{'all': 47},1571760456,"{'country': 'CD', 'sunrise': 1571718018, 'sunset': 1571761228}",3600,216404,Gbadolite,200
"{'lon': -92.34, 'lat': 16.78}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 72.99, 'pressure': 1014, 'humidity': 72, 'temp_min': 72.99, 'temp_max': 72.99, 'sea_level': 1014, 'grnd_level': 874}","{'speed': 1.36, 'deg': 47}",{'3h': 0.31},{'all': 5},1571760457,"{'country': 'MX', 'sunrise': 1571745819, 'sunset': 1571787825}",-18000,3816214,Oxchuc,200
"{'lon': 12.63, 'lat': 6.47}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 81.01, 'pressure': 1007, 'humidity': 68, 'temp_min': 81.01, 'temp_max': 81.01, 'sea_level': 1007, 'grnd_level': 909}","{'speed': 3.13, 'deg': 52}",{'3h': 2},{'all': 27},1571760457,"{'country': 'CM', 'sunrise': 1571720128, 'sunset': 1571763134}",3600,2221530,Tibati,200
"{'lon': 113.28, 'lat': 46.68}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 33.94, 'pressure': 1020, 'humidity': 39, 'temp_min': 33.94, 'temp_max': 33.94, 'sea_level': 1020, 'grnd_level': 904}","{'speed': 13.94, 'deg': 71}",,{'all': 99},1571760458,"{'country': 'MN', 'sunrise': 1571784873, 'sunset': 1571822865}",28800,2032614,Baruun-Urt,200
"{'lon': 17.99, 'lat': 3.87}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 83.43, 'pressure': 1005, 'humidity': 63, 'temp_min': 83.43, 'temp_max': 83.43, 'sea_level': 1005, 'grnd_level': 951}","{'speed': 1.1, 'deg': 99}",,{'all': 95},1571760462,"{'country': 'CF', 'sunrise': 1571718721, 'sunset': 1571761969}",3600,2384770,Mbaiki,200
"{'lon': 75.68, 'lat': 15.92}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,"{'temp': 74.25, 'pressure': 1010, 'humidity': 87, 'temp_min': 74.25, 'temp_max': 74.25, 'sea_level': 1010, 'grnd_level': 943}","{'speed': 9.73, 'deg': 251}",{'3h': 3.38},{'all': 100},1571760462,"{'country': 'IN', 'sunrise': 1571705443, 'sunset': 1571747558}",19800,1278017,Badami,200
"{'lon': 97.03, 'lat': 20.78}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 65.41, 'pressure': 1011, 'humidity': 95, 'temp_min': 65.41, 'temp_max': 65.41, 'sea_level': 1011, 'grnd_level': 892}","{'speed': 3.11, 'deg': 193}",,{'all': 0},1571760463,"{'country': 'MM', 'sunrise': 1571700561, 'sunset': 1571742194}",23400,1293960,Taunggyi,200
"{'lon': 67.45, 'lat': 24.14}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 84.22, 'pressure': 1009, 'humidity': 61, 'temp_min': 84.22, 'temp_max': 84.22, 'sea_level': 1009, 'grnd_level': 1010}","{'speed': 8.84, 'deg': 278}",,{'all': 100},1571760463,"{'country': 'PK', 'sunrise': 1571707839, 'sunset': 1571749113}",18000,1174451,Keti Bandar,200
"{'lon': 163.07, 'lat': 59.24}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 26.15, 'pressure': 1020, 'humidity': 70, 'temp_min': 26.15, 'temp_max': 26.15, 'sea_level': 1020, 'grnd_level': 1017}","{'speed': 8.75, 'deg': 355}",,{'all': 0},1571760465,"{'country': 'RU', 'sunrise': 1571774539, 'sunset': 1571809302}",43200,2122389,Ossora,200
"{'lon': -151.75, 'lat': -16.48}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 79.54, 'pressure': 1012, 'humidity': 72, 'temp_min': 79.54, 'temp_max': 79.54, 'sea_level': 1012, 'grnd_level': 1011}","{'speed': 3.98, 'deg': 122}",,{'all': 1},1571760466,"{'country': 'PF', 'sunrise': 1571758468, 'sunset': 1571803689}",-36000,4034551,Faanui,200
"{'lon': 72.64, 'lat': 10.57}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,"{'temp': 81.73, 'pressure': 1010, 'humidity': 80, 'temp_min': 81.73, 'temp_max': 81.73, 'sea_level': 1010, 'grnd_level': 1010}","{'speed': 12.15, 'deg': 253}",{'3h': 9.69},{'all': 100},1571760467,"{'country': 'IN', 'sunrise': 1571705917, 'sunset': 1571748544}",19800,1267390,Kavaratti,200
