coord,weather,base,main,wind,rain,clouds,dt,sys,timezone,id,name,cod
"{'lon': 97.97, 'lat': 4.47}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 76.14, 'pressure': 1011, 'humidity': 90, 'temp_min': 76.14, 'temp_max': 76.14, 'sea_level': 1011, 'grnd_level': 1008}","{'speed': 2.26, 'deg': 198}",{'3h': 1.94},{'all': 100},1571760365,"{'country': 'ID', 'sunrise': 1571699554, 'sunset': 1571742749}",25200,1214724,Langsa,200
"{'lon': 98.19, 'lat': 14.07}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 84.43, 'pressure': 1010, 'humidity': 72, 'temp_min': 84.43, 'temp_max': 84.43, 'sea_level': 1010, 'grnd_level': 1009}","{'speed': 5.28, 'deg': 349}",,{'all': 0},1571760365,"{'country': 'MM', 'sunrise': 1571699951, 'sunset': 1571742248}",23400,1293625,Dawei,200
"{'lon': 116.85, 'lat': -20.74}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 81.27, 'pressure': 1013, 'humidity': 70, 'temp_min': 81.27, 'temp_max': 81.27, 'sea_level': 1013, 'grnd_level': 1012}","{'speed': 4.59, 'deg': 131}",,{'all': 44},1571760366,"{'country': 'AU', 'sunrise': 1571780164, 'sunset': 1571825861}",28800,6620339,Karratha,200
"{'lon': 44.44, 'lat': 64}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 31.14, 'pressure': 1007, 'humidity': 91, 'temp_min': 31.14, 'temp_max': 31.14, 'sea_level': 1007, 'grnd_level': 999}","{'speed': 9.08, 'deg': 205}",,{'all': 100},1571760366,"{'country': 'RU', 'sunrise': 1571717481, 'sunset': 1571750515}",10800,552256,Karpogory,200
"{'lon': -74.78, 'lat': -0.19}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 92.62, 'pressure': 1012, 'humidity': 48, 'temp_min': 92.62, 'temp_max': 92.62, 'sea_level': 1012, 'grnd_level': 988}","{'speed': 0.89, 'deg': 356}",,{'all': 9},1571760367,"{'country': 'CO', 'sunrise': 1571740796, 'sunset': 1571784420}",-18000,3671437,Puerto Leguizamo,200
"{'lon': 86.18, 'lat': 22.27}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 75.09, 'pressure': 1011, 'humidity': 85, 'temp_min': 75.09, 'temp_max': 75.09, 'sea_level': 1011, 'grnd_level': 983}","{'speed': 2.71, 'deg': 183}",{'3h': 0.31},{'all': 9},1571760370,"{'country': 'IN', 'sunrise': 1571703243, 'sunset': 1571744719}",19800,1265830,Rairangpur,200
"{'lon': 77.6, 'lat': 14.08}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 74.53, 'pressure': 1010, 'humidity': 84, 'temp_min': 74.53, 'temp_max': 74.53, 'sea_level': 1010, 'grnd_level': 941}","{'speed': 4.05, 'deg': 316}",{'3h': 3},{'all': 100},1571760371,"{'country': 'IN', 'sunrise': 1571704893, 'sunset': 1571747187}",19800,1259905,Penukonda,200
"{'lon': 143.34, 'lat': 42.84}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 46.89, 'pressure': 1021, 'humidity': 94, 'temp_min': 46.89, 'temp_max': 46.89, 'sea_level': 1021, 'grnd_level': 1005}","{'speed': 2.82, 'deg': 20}",,{'all': 34},1571760371,"{'country': 'JP', 'sunrise': 1571777304, 'sunset': 1571816007}",32400,2128815,Makubetsu,200
"{'lon': 53.09, 'lat': 67.67}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 26.02, 'pressure': 1003, 'humidity': 92, 'temp_min': 26.02, 'temp_max': 26.02, 'sea_level': 1003, 'grnd_level': 999}","{'speed': 12.82, 'deg': 242}",,{'all': 100},1571760373,"{'country': 'RU', 'sunrise': 1571716431, 'sunset': 1571747413}",10800,523392,Naryan-Mar,200
"{'lon': 49.82, 'lat': 7.98}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 81.23, 'pressure': 1008, 'humidity': 79, 'temp_min': 81.23, 'temp_max': 81.23, 'sea_level': 1008, 'grnd_level': 1007}","{'speed': 9.42, 'deg': 87}",,{'all': 33},1571760374,"{'country': 'SO', 'sunrise': 1571711273, 'sunset': 1571754140}",10800,60019,Eyl,200
